,Short _Name,Long_Name,Short_Description,Long_Description,Data_Source
379,r8_2018,New_Residential_Permit_Units_2018,Number of residential units permitted for new construction,Number of residential units permitted for new construction,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2017-June 30, 2018"
380,m8_2017,New_Residential_2017,"Number of residential units permitted for new construction, per 100 acres","Number of  residential units permitted for new construction, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2016-June 30, 2017"
381,r8_2017,New_Residential_Permit_Units_2017,Number of residential units permitted for new construction,Number of residential units permitted for new construction,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2016-June 30, 2017"
382,m8_2016,New_Residential_2016,"Number of residential units permitted for new construction, per 100 acres","Number of  residential units permitted for new construction, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2015-June 30, 2016"
383,r8_2016,New_Residential_Permit_Units_2016,Number of residential units permitted for new construction,Number of residential units permitted for new construction,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2015-June 30, 2016"
384,m8_2015,New_Residential_2015,"Number of residential units permitted for new construction, per 100 acres","Number of  residential units permitted for new construction, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2014-June 30, 2015"
385,r8_2015,New_Residential_Permit_Units_2015,Number of residential units permitted for new construction,Number of residential units permitted for new construction,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2014-June 30, 2015"
386,m8_2014,New_Residential_2014,"Number of residential units permitted for new construction, per 100 acres","Number of  residential units permitted for new construction, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2013-June 30, 2014"
387,r8_2014,New_Residential_Permit_Units_2014,Number of residential units permitted for new construction,Number of residential units permitted for new construction,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2013-June 30, 2014"
388,m8_2013,New_Residential_2013,"Number of residential units permitted for new construction, per 100 acres","Number of  residential units permitted for new construction, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2012-June 30, 2013"
389,r8_2013,New_Residential_Permit_Units_2013,Number of residential units permitted for new construction,Number of residential units permitted for new construction,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2012-June 30, 2013"
390,m8_2012,New_Residential_2012,"Number of residential units permitted for new construction, per 100 acres","Number of  residential units permitted for new  construction, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2011-June 30, 2012"
391,r8_2012,New_Residential_Permit_Units_2012,Number of residential units permitted for new construction,Number of residential units permitted for new construction,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2011-June 30, 2012"
392,m8_2011,New_Residential_2011,"Number of residential units permitted for new construction, per 100 acres","Number of  residential units permitted for new construction, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2010-June 30, 2011"
393,r8_2011,New_Residential_Permit_Units_2011,Number of residential units permitted for new construction,Number of residential units permitted for new construction,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2010-June 30, 2011"
394,m9_2018,Residential_Renovation_2018,Residential units permitted for renovation per 100 acres,"Number of residential units permitted for  renovation, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2017-June 30, 2018"
395,r9_2018,Residential_Renovation_Permit_Units_2018,Number of residential units permitted for renovation,Number of residenital units permitted for renovation,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2017-June 30, 2018"
396,m9_2017,Residential_Renovation_2017,Residential units permitted for renovation per 100 acres,"Number of residential units permitted for  renovation, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2016-June 30, 2017"
397,r9_2017,Residential_Renovation_Permit_Units_2017,Number of residential units permitted for renovation,Number of residenital units permitted for renovation,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2016-June 30, 2017"
398,m9_2016,Residential_Renovation_2016,Residential units permitted for renovation per 100 acres,"Number of residential units permitted for  renovation, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2015-June 30, 2016"
399,r9_2016,Residential_Renovation_Permit_Units_2016,Number of residential units permitted for renovation,Number of residenital units permitted for renovation,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2015-June 30, 2016"
400,m9_2015,Residential_Renovation_2015,Residential units permitted for renovation per 100 acres,"Number of residential units permitted for  renovation, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2014-June 30, 2015"
401,r9_2015,Residential_Renovation_Permit_Units_2015,Number of residential units permitted for renovation,Number of residenital units permitted for renovation,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2014-June 30, 2015"
402,m9_2014,Residential_Renovation_2014,Residential units permitted for renovation per 100 acres,"Number of residential units permitted for  renovation, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2013-June 30, 2014"
403,r9_2014,Residential_Renovation_Permit_Units_2014,Number of residential units permitted for renovation,Number of residenital units permitted for renovation,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2013-June 30, 2014"
404,m9_2013,Residential_Renovation_2013,Residential units permitted for renovation per 100 acres,"Number of residential units permitted for  renovation, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2012-June 30, 2013"
405,r9_2013,Residential_Renovation_Permit_Units_2013,Number of residential units permitted for renovation,Number of residenital units permitted for renovation,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2012-June 30, 2013"
406,m9_2012,Residential_Renovation_2012,Residential units permitted for renovation per 100 acres,"Number of residential units permitted for  renovation, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2011-June 30, 2012"
407,r9_2012,Residential_Renovation_Permit_Units_2012,Number of residential units permitted for renovation,Number of residenital units permitted for renovation,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2011-June 30, 2012"
408,m9_2011,Residential_Renovation_2011,Residential units permitted for renovation per 100 acres,"Number of residential units permitted for  renovation, divided by land area, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2010-June 30, 2011"
